Number of features, Features, Mean Accuracy, Std Accuracy
2,0+25,0.394530414792,0.018222670471
2,0+26,0.394530414792,0.018222670471
2,0+27,0.394530414792,0.018222670471
2,0+28,0.394530414792,0.018222670471
2,0+29,0.394530414792,0.018222670471
2,0+30,0.394530414792,0.018222670471
2,0+31,0.394530414792,0.018222670471
2,0+32,0.394530414792,0.018222670471
2,0+33,0.394530414792,0.018222670471
2,1+2,0.394530414792,0.018222670471
2,1+3,0.394530414792,0.018222670471
2,1+4,0.394530414792,0.018222670471
2,1+5,0.394530414792,0.018222670471
2,1+6,0.401435176697,0.0180372351104
2,1+7,0.394530414792,0.018222670471
2,1+8,0.401435176697,0.0180372351104
2,1+9,0.401435176697,0.0180372351104
2,1+10,0.401435176697,0.0180372351104
2,1+11,0.394530414792,0.018222670471
2,1+12,0.401435176697,0.0180372351104
2,1+13,0.394530414792,0.018222670471
2,1+14,0.401435176697,0.0180372351104
2,1+15,0.394530414792,0.018222670471
2,1+16,0.401435176697,0.0180372351104
2,1+17,0.394530414792,0.018222670471
2,1+18,0.401435176697,0.0180372351104
2,1+19,0.394530414792,0.018222670471
2,1+20,0.401435176697,0.0180372351104
2,1+21,0.394530414792,0.018222670471
2,1+22,0.401435176697,0.0180372351104
2,1+23,0.394530414792,0.018222670471
2,1+24,0.401435176697,0.0180372351104
2,1+25,0.394530414792,0.018222670471
2,1+26,0.394530414792,0.018222670471
2,1+27,0.394530414792,0.018222670471
2,1+28,0.394530414792,0.018222670471
2,1+29,0.394530414792,0.018222670471
2,1+30,0.394530414792,0.018222670471
2,1+31,0.394530414792,0.018222670471
2,1+32,0.394530414792,0.018222670471
2,1+33,0.394530414792,0.018222670471
2,2+3,0.394530414792,0.018222670471
2,2+4,0.394530414792,0.018222670471
2,2+5,0.39108213893,0.0233248188983
2,2+6,0.360768490563,0.0774341779754
2,2+7,0.400826711088,0.029684825936
2,2+8,0.360768490563,0.0774341779754
2,2+9,0.360768490563,0.0774341779754
2,2+10,0.409092561128,0.0531478217422
2,2+11,0.409092561128,0.0531478217422
2,2+12,0.399845183655,0.060016601174
2,2+13,0.400826711088,0.029684825936
2,2+14,0.360768490563,0.0774341779754
2,2+15,0.394520239782,0.0418797877207
2,2+16,0.360768490563,0.0774341779754
2,2+17,0.390684260946,0.0156720543803
2,2+18,0.399845183655,0.060016601174
2,2+19,0.396273755084,0.0613734707506
2,2+20,0.391694276144,0.0460099394364
2,2+21,0.394520239782,0.0418797877207
2,2+22,0.360768490563,0.0774341779754
2,2+23,0.39848409552,0.0321818287883
2,2+24,0.360768490563,0.0774341779754
2,2+25,0.394530414792,0.018222670471
2,2+26,0.39848409552,0.0321818287883
2,2+27,0.387255282517,0.0214576376387
2,2+28,0.394530414792,0.018222670471
2,2+29,0.394530414792,0.018222670471
2,2+30,0.394530414792,0.018222670471
2,2+31,0.394530414792,0.018222670471
2,2+32,0.394530414792,0.018222670471
2,2+33,0.394530414792,0.018222670471
2,3+4,0.394530414792,0.018222670471
2,3+5,0.394530414792,0.018222670471
2,3+6,0.390826711088,0.0189772858632
2,3+7,0.390826711088,0.0189772858632
2,3+8,0.390826711088,0.0189772858632
2,3+9,0.390826711088,0.0189772858632
2,3+10,0.394530414792,0.018222670471
2,3+11,0.390826711088,0.0189772858632
2,3+12,0.390826711088,0.0189772858632
2,3+13,0.390826711088,0.0189772858632
2,3+14,0.390826711088,0.0189772858632
2,3+15,0.390826711088,0.0189772858632
2,3+16,0.390826711088,0.0189772858632
2,3+17,0.394530414792,0.018222670471
2,3+18,0.390826711088,0.0189772858632
2,3+19,0.390826711088,0.0189772858632
2,3+20,0.390826711088,0.0189772858632
2,3+21,0.390826711088,0.0189772858632
2,3+22,0.390826711088,0.0189772858632
2,3+23,0.394530414792,0.018222670471
2,3+24,0.390826711088,0.0189772858632
2,3+25,0.394530414792,0.018222670471
2,3+26,0.394530414792,0.018222670471
2,3+27,0.394530414792,0.018222670471
2,3+28,0.394530414792,0.018222670471
2,3+29,0.394530414792,0.018222670471
2,3+30,0.394530414792,0.018222670471
2,3+31,0.394530414792,0.018222670471
2,3+32,0.394530414792,0.018222670471
2,3+33,0.394530414792,0.018222670471
2,4+5,0.394530414792,0.018222670471
2,4+6,0.401089554577,0.0164467472676
2,4+7,0.394530414792,0.018222670471
2,4+8,0.401089554577,0.0164467472676
